#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Sep 22 02:40:15 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_embed_map.ncd
#OUTPUT FILE:      top_embed_pad.csv
#PART TYPE:        xc3s50a
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
P4,single_strobe,IOB,IO_L01N_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P5,cont_strobe,IOB,IO_L02P_3,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,trigger,IBUF,IO_L02N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P7,,DIFFSI_NDT,IP_3/VREF_3,UNUSED,,3,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,fpga_cs,IBUF,IO_L03P_3/LHCLK0,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P10,spi_clk,IBUF,IO_L03N_3/LHCLK1,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P11,,,VCCO_3,,,3,,,,,3.30,,,,
P12,spi_mosi,IBUF,IO_L04P_3/LHCLK2,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P13,spi_miso,IOB,IO_L04N_3/IRDY2/LHCLK3,TRISTATE,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,pixel_ready,IOB,IO_L05P_3/TRDY2/LHCLK6,OUTPUT,LVCMOS33,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,fifo_rset,IBUF,IO_L05N_3/LHCLK7,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P17,,,VCCINT,,,,,,,,1.2,,,,
P18,,,GND,,,,,,,,,,,,
P19,xreset,IBUF,IO_L06P_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P20,fifo_cs,IBUF,IO_L06N_3,INPUT,LVCMOS33,3,,,,IBUF,,LOCATED,NO,NONE,
P21,,DIFFMI_NDT,IP_3,UNUSED,,3,,,,,,,,,
P22,,,VCCAUX,,,,,,,,2.5,,,,
P23,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
P24,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
P25,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P26,,,VCCO_2,,,2,,,,,3.30,,,,
P27,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
P28,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
P29,,DIFFMTB,IO_L04P_2/VS2,UNUSED,,2,,,,,,,,,
P30,ilx511b_shsw,IOB,IO_L03N_2/VS1,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P31,ilx511b_rog,IOB,IO_L04N_2/VS0,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P32,ilx511b_clk,IOB,IO_L05P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P33,adt7301_clk,IOB,IO_L06P_2,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,adt7301_cs,IOB,IO_L05N_2/D7,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,adt_cs,IBUF,IO_L06N_2/D6,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P36,eeprom_clk,IOB,IO_L07P_2/D5,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P37,eeprom_cs,IOB,IO_L07N_2/D4,OUTPUT,LVCMOS33,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P38,,,VCCINT,,,,,,,,1.2,,,,
P39,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P40,e2_cs,IBUF,IO_L08P_2/GCLK14,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P41,,DIFFSTB,IO_L08N_2/GCLK15,UNUSED,,2,,,,,,,,,
P42,,,GND,,,,,,,,,,,,
P43,sys_clk,IBUF,IO_L09P_2/GCLK0,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P44,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,ad7621_di<15>,IBUF,IO_2/MOSI/CSI_B,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFMTB,IO_L10P_2/INIT_B,UNUSED,,2,,,,,,,,,
P49,ad7621_di<14>,IBUF,IO_L10N_2/D3,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P50,ad7621_di<13>,IBUF,IO_L11P_2/D2,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P51,,DIFFSTB,IO_L11N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P52,ad7621_di<12>,IBUF,IO_L12P_2/D1,INPUT,LVCMOS33,2,,,,IBUF,,LOCATED,NO,NONE,
P53,,DIFFSTB,IO_L12N_2/CCLK,UNUSED,,2,,,,,,,,,
P54,,,DONE,,,,,,,,,,,,
P55,,,VCCAUX,,,,,,,,2.5,,,,
P56,ad7621_di<11>,IBUF,IO_L01P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P57,ad7621_di<10>,IBUF,IO_L01N_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P58,,,GND,,,,,,,,,,,,
P59,ad7621_di<9>,IBUF,IO_L02P_1/RHCLK0,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P60,ad7621_di<8>,IBUF,IO_L02N_1/RHCLK1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P61,ad7621_di<7>,IBUF,IO_L03P_1/RHCLK2,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P62,ad7621_di<6>,IBUF,IO_L03N_1/TRDY1/RHCLK3,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P63,,,GND,,,,,,,,,,,,
P64,ad7621_di<5>,IBUF,IO_L04P_1/IRDY1/RHCLK6,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P65,ad7621_di<4>,IBUF,IO_L04N_1/RHCLK7,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P66,,,VCCINT,,,,,,,,1.2,,,,
P67,,,VCCO_1,,,1,,,,,any******,,,,
P68,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P69,,,GND,,,,,,,,,,,,
P70,ad7621_di<3>,IBUF,IO_L05P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P71,ad7621_di<2>,IBUF,IO_L05N_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P72,ad7621_di<1>,IBUF,IO_L06P_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P73,ad7621_di<0>,IBUF,IO_L06N_1,INPUT,LVCMOS33,1,,,,IBUF,,LOCATED,NO,NONE,
P74,,,GND,,,,,,,,,,,,
P75,,,TDO,,,,,,,,,,,,
P76,,,TCK,,,,,,,,,,,,
P77,,DIFFMTB,IO_L01P_0/VREF_0,UNUSED,,0,,,,,,,,,
P78,ad7621_convst,IOB,IO_L01N_0,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P79,,,VCCO_0,,,0,,,,,3.30,,,,
P80,,,GND,,,,,,,,,,,,
P81,,,VCCINT,,,,,,,,1.2,,,,
P82,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
P83,ad7621_busy,IBUF,IO_L02P_0/GCLK4,INPUT,LVCMOS33,0,,,,IBUF,,LOCATED,NO,NONE,
P84,,DIFFSTB,IO_L02N_0/GCLK5,UNUSED,,0,,,,,,,,,
P85,,DIFFMTB,IO_L03P_0/GCLK6,UNUSED,,0,,,,,,,,,
P86,,DIFFSTB,IO_L03N_0/GCLK7,UNUSED,,0,,,,,,,,,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMTB,IO_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,,DIFFSTB,IO_L04N_0/GCLK9,UNUSED,,0,,,,,,,,,
P90,,DIFFSTB,IO_0/GCLK11,UNUSED,,0,,,,,,,,,
P91,,,GND,,,,,,,,,,,,
P92,,,VCCAUX,,,,,,,,2.5,,,,
P93,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
P94,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
P95,,,GND,,,,,,,,,,,,
P96,,,VCCO_0,,,0,,,,,3.30,,,,
P97,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
